电影名称,上映时间,评分,评论人数,演员,类型,国家,电影ID
电锯惊魂,2004-01-19,8.7,569946,"雷·沃纳尔,加利·艾尔维斯,丹尼·格洛弗","悬疑,惊悚,恐怖",美国,1417598
洛城机密,1997-09-19,8.8,157482,"凯文·史派西,罗素·克劳,盖·皮尔斯","剧情,犯罪,悬疑,惊悚",美国,1292348
血钻,2006-12-08,8.7,400149,"莱昂纳多·迪卡普里奥,杰曼·翰苏,詹妮弗·康纳利","剧情,惊悚,冒险","美国,德国,英国",1428175
谍影重重2,2004-11-14,8.7,373284,"马特·达蒙,布莱恩·考克斯,琼·艾伦","动作,悬疑,惊悚","美国,德国",1308767
浪潮,2008-03-13,8.7,283788,"于尔根·福格尔,弗雷德里克·劳,马克思·雷迈特","剧情,惊悚",德国,2297265
后窗,1954-08-01,8.7,216038,"詹姆斯·斯图尔特,格蕾丝·凯利,温戴尔·柯瑞","悬疑,惊悚",美国,1299080
釜山行,2016-05-13,8.6,1267790,"孔刘,郑有美,马东锡","动作,惊悚,灾难",韩国,25986180
黑天鹅,2010-09-01,8.6,810867,"娜塔莉·波特曼,米拉·库尼斯,文森特·卡塞尔","剧情,惊悚",美国,1978709
用心棒,1961-04-25,9.0,56540,"三船敏郎,仲代达矢,司叶子","剧情,动作,惊悚",日本,1292515
彗星来的那一夜,2013-09-19,8.6,628944,"艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登","科幻,悬疑,惊悚","美国,英国",25807345
谍影重重,2002-11-21,8.6,453979,"马特·达蒙,弗朗卡·波滕特,克里斯·库珀","动作,悬疑,惊悚","美国,德国,捷克",1304102
回忆三部曲,1995-12-23,8.9,68689,"矶部勉,山寺宏一,高岛雅罗","动画,奇幻,科幻,惊悚",日本,1307897
蝙蝠侠：侠影之谜,2005-06-29,8.6,432933,"克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森","剧情,动作,科幻,犯罪,惊悚","美国,英国",1309069
迷魂记,1958-05-09,8.7,148076,"詹姆斯·斯图尔特,金·诺瓦克,芭芭拉·贝尔·戈迪斯","爱情,悬疑,惊悚",美国,1297294
金福南杀人事件始末,2010-09-02,8.6,281329,"徐英姬,池成媛,朴政学","剧情,犯罪,惊悚",韩国,4826419
银翼杀手,1982-06-25,8.6,280129,"哈里森·福特,鲁格·豪尔,肖恩·杨","科幻,惊悚",美国,1291839
非常嫌疑犯,1995-01-25,8.6,269503,"史蒂芬·鲍德温,加布里埃尔·伯恩,本尼西奥·德尔·托罗","犯罪,悬疑,惊悚","德国,美国",1292214
亚当斯一家的价值观,1993-11-19,8.8,74934,"克里斯蒂娜·里奇,琼·库萨克,劳尔·胡里亚","喜剧,家庭,奇幻,惊悚",美国,1299900
