电影名称,海报地址,评分,评论人数,类型,上映日期,片长,导演,主演,国家/地区,语言,简介
金色梦乡ゴールデンスランバー,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2208009845.jpg,8.3,84803,剧情/悬疑,2010-01-30(日本),139分钟,中村义洋,堺雅人/竹内结子/吉冈秀隆/剧团一人/香川照之/柄本明/滨田岳/涩川清彦/柳原晴郎/大森南朋/贯地谷栞/相武纱季/伊东四朗/永岛敏行/石丸谦二郎/成膳任/绪方义博/泷藤贤一/木下隆行/木内绿/龙雷太/铃木福/岩松了/安藤玉惠/波冈一喜/上田耕一/芦川诚/笠木泉/郑龙进,日本,日语,居住在仙台的宅急送工作人员青柳雅春（堺雅人 饰）是一个情感细腻、善良温和的青年。2年前，他曾因救助被歹徒威胁的当红女明星凛香（貫地谷しほり 饰）而成为当地家喻户晓的英雄人物。某天，他接到大学好友森田森吾（吉岡秀隆 饰）一同钓鱼的邀请，于是欣然前往。但是令青柳出乎意料的是，森田似乎把自己骗入一个陷阱之中。是日，正在故乡仙台视察的金田首相（伊藤ふみお 饰）遭到炸弹袭击身亡，而青柳则成为了头号嫌疑人。警察总署综合情报科迅速部署天罗地网，而知晓内幕的神秘势力也急于杀害青柳以灭口。在好友和陌生人的帮助下，青柳被迫在小小的仙台展开绝命逃亡，“对他人的信任”是他所拥有的唯一武器…… 本片根据伊坂幸太郎的同名原著改编。
利刃出鞘KnivesOut,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574172427.jpg,8.1,852144,剧情/喜剧/悬疑/犯罪,2019-11-29(中国大陆)/2019-09-07(多伦多电影节)/2019-11-27(美国),130分钟,莱恩·约翰逊,丹尼尔·克雷格/安娜·德·阿玛斯/克里斯·埃文斯/杰米·李·柯蒂斯/迈克尔·珊农/唐·约翰逊/托妮·科莱特/勒凯斯·斯坦菲尔德/克里斯托弗·普卢默/凯瑟琳·兰福德/杰登·马泰尔/瑞琪·琳德赫姆/艾迪·帕特森/弗兰克·奥兹/K·卡兰/诺阿·西甘/M·埃梅特·沃尔什/玛琳娜·福特/劳尔·卡斯提洛/雪莉·罗德里格斯/约瑟夫·高登-莱维特/加布里埃尔·洛莱斯,美国,英语/西班牙语,富豪小说家哈兰·斯隆比在自己85岁生日第二天，被发现在自家庄园离奇自杀，遗留了亿万遗产。久负盛名的大侦探布兰科（丹尼尔·克雷格饰）突然被匿名人士雇佣调查此案真相。同时，哈兰的孙子兰森（克里斯·埃文斯饰）也正在秘密调查此案。当布兰科和哈兰·斯隆比家族的其他人对谈时， 他发现事情并没有想象中那么简单。 哈兰家族没有表面上那么和睦，每个人都有着不可告人的秘密，每个人都想得到遗产……究竟这起命案是自杀还是他杀？似乎每个人都有嫌疑。随着一位遗产继承人的意外亮相，真相谜底渐渐浮出水面……
关于我和鬼变成家人的那件事關於我和鬼變成家人的那件事,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2881995796.jpg,8.1,434803,喜剧/悬疑/同性/奇幻,2023-02-10(中国台湾)/2023-08-10(中国台湾网络)/2022-11-17(台北金马影展),130分钟,程伟豪,许光汉/林柏宏/王净/蔡振南/王满娇/庹宗华/马念先/郑志伟/李至正/陈彦佐/张再兴/刘冠廷/炎亚纶/唐纶/蔡哲文/邱永腾,中国台湾,汉语普通话/闽南语,吴明翰（许光汉 饰）是一名脾气耿直的警察，一次在出警中，他偶然捡到了地上的红包，哪知道被牵扯到了一桩冥婚之中，而他要结婚的对象，竟然是名叫毛邦羽（林柏宏 饰）的男人。吴明翰虽然内心一百个不情愿，但很快他就发现，如果不完婚，那么坏运气会一直跟随着他，无奈之下，吴明翰只得在灵堂中和毛邦宇举行了仪式。 第二天，毛邦宇的鬼魂出现在了吴明翰的面前，想要结束这场荒唐的闹剧，吴明翰必须帮助毛邦宇完成遗愿，他给动物慈善组织捐款、去探望毛邦宇在世时的男友、查找导致毛邦宇死亡的车祸事件真相，在此过程中，吴明翰和毛邦宇从“假夫妻”变成了“真朋友”。
爱德华大夫Spellbound,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1884306259.jpg,8.3,69959,爱情/悬疑/黑色电影,1945-12-28(美国),111分钟,阿尔弗雷德·希区柯克,英格丽·褒曼/格利高里·派克/迈克尔·契诃夫/里奥.G.卡罗尔/朗达·弗莱明/约翰·埃默里/诺曼·劳埃德/比尔·戈德温/史蒂文·杰雷/唐纳德·柯蒂斯/华莱士·福特/亚特·贝克/里吉斯·图米/保罗·哈维/简·阿克/欧文·培根/哈利·布朗/杰奎琳·德威特/爱德华·菲尔丁/阿尔弗雷德·希区柯克/维克托·基利恩/马特·摩尔/艾迪生·理查兹/厄斯金·桑福德/戴夫·威洛克/Richard Bartell/Teddy Infuhr/George Meader/Constance Purdy/Clarence Straight,美国,英语,精神病院的默奇逊院长即将退休，接手的是年轻有为的爱德华大夫（格利高里·派克 Gregory Peck 饰）。医院里年轻漂亮的女医生彼特森（英格丽·褒曼 Ingrid Bergman 饰）和他相爱，然而竟发现眼前的爱人不是爱德华大夫，而真实的爱德华的秘书，还前来指出这个冒牌人士是杀害爱德华的凶手。 面对恋人扑朔迷离的身份，彼特森始终不相信他是杀人凶手，然而默奇逊院长却用精神分析法印证了“事实”。更为棘手的是，这个假爱德华也相信自己有罪，他甚至连自己是谁，经历过的事情也不知道。 彼特森对自己的判断非常坚持，她决定要帮他找出事件真相。在警察的追捕下，她带他逃到了心理分析教授的家中，展开了一联串精彩的心理分析过程，他童年的阴影和爱德华大夫被杀的真相渐渐浮出水面。
燃烧버닝,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2520095279.jpg,8.1,409422,剧情/悬疑/犯罪,2018-05-16(戛纳电影节)/2018-05-17(韩国),148分钟,李沧东,刘亚仁/史蒂文·元/全钟瑞/金秀京/崔承浩/玉子妍,韩国,韩语,目标成为作家的青年李钟秀（刘亚仁 饰），平日里靠兼职养活自己。经营畜牧业的父亲不谙人情，官司缠身，迫使钟秀又要为了搭救父亲而四处奔走。这一日，钟秀在某大型卖场重逢了当年的同学申惠美（全钟淑 饰）。惠美计划近期前往非洲旅行，于是拜托钟秀照看爱猫Boil。不久后惠美回国，与之一同下飞机的还有名叫本（史蒂文·元 饰）的男子。本驾驶保时捷，居住在高级公寓内，优哉游哉，不见工作，四处玩乐，和钟秀相比有如天上地下。不知为何，本走入平民钟秀和惠美的生活，更向新朋友讲述了他奇特的癖好。在钟秀家小聚的那个晚上过后，惠美仿佛人间蒸发了一般无影无踪…… 本片根据村上春树的短篇小说《烧仓房》改编。
谜一样的双眼Elsecretodesusojos,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p452819688.jpg,8.2,97423,剧情/爱情/悬疑/犯罪,2009-08-13(阿根廷),129分钟,胡安·何塞·坎帕内利亚,里卡多·达林/索蕾达·维拉米尔/巴勃罗·拉戈/哈维尔·戈迪诺/古勒莫·法兰塞拉/何塞·路易斯·加尔西/卡拉·奎沃多,阿根廷/西班牙,西班牙语,本杰明·艾斯玻希多（里卡杜·达林 Ricardo Darín 饰）是一名退休的检察官，几十年的司法工作经验让他积攒下诸多素材，而多年前一起奸杀案始终让他念念不忘，他希望将其付梓出版，了却心愿。25年前，23岁的美丽女教师莉莉安娜·科洛托（Carla Quevedo 饰）和银行职员里杜卡·莫拉莱斯（帕博罗·拉格 Pablo Rago 饰）相识相恋，然而就在两人已谈婚论嫁之际，莉莉安娜在公寓被人残忍强暴并杀害。是时司法腐败，为求尽快结案，本杰明的同事甚至随便找个外来移民顶罪。也许是为莉莉安娜死亡现场所震撼，本杰明执着地展开调查，从此卷入这桩扑朔迷离的爱恨疑案之中…… 本片荣获2010年第82届奥斯卡金像奖最佳外语片奖；2009年哈瓦那电影节观众奖、最佳男主角奖（Ricardo Darín）、最佳导演奖、最佳音乐奖、评审团特别奖。
东方快车谋杀案Poirot:MurderontheOrientExpress,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2172410560.jpg,8.3,59351,剧情/悬疑/犯罪,2010-07-11(美国)/2010-12-25(英国),93分钟,菲利普·马丁,大卫·苏切/艾琳·阿特金斯/杰西卡·查斯坦/玛丽-乔西·克罗兹/大卫·莫瑞瑟/芭芭拉·赫希/苏珊娜·洛塔尔/德尼·梅诺谢/塞尔奇·哈赛纳维奇/托比·琼斯/萨缪尔·韦斯特/休·博纳维尔/布莱恩·J·史密斯,英国,英语,本片改编自阿加莎·克里斯蒂的同名小说。 Poirot（大卫·苏切特 David Suchet 饰）到访伊斯坦布尔之际，替英国军方解决了一起复杂的案件。在返回伦敦的途中，他遇到了老友国际客车公司的董事Bouc先生，他为Poirot在最后一刻订到了东方快车的车票。在列车上，Poirot遇到美国富商Samuel，他告诉Poirot自己的生命受到威胁，愿意支付重金让他保护自己，但却遭到了Poirot的拒绝。第二天清晨醒来之际，Poirot发现列车受困于暴风雪中而Samuel已被人谋杀在包厢里。在Bouc先生和Constantine医生的协助下，开始对凶案展开调查，他是否能顺利解开这桩扑朔迷离的惊天大案呢？
阳光下的罪恶EvilUndertheSun,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173899536.jpg,8.3,59218,悬疑/犯罪,1982-02-12,117分钟,盖伊·汉弥尔顿,彼得·乌斯蒂诺夫/玛吉·史密斯/科林·布莱克利/黛安娜·里格/丹尼斯·奎利/埃米莉·霍恩/罗迪·麦克道尔/詹姆斯·梅森/尼古拉斯·克莱/简·伯金,英国,英语/法语/德语,阿伦娜·马歇尔（黛安娜·里格 Diana Rigg 饰）是一个美艳不可方物的女明星，天性放浪的她从不掩饰对其他男性的喜爱，也十分享受被男性追求的感觉，从而彻底忽略了丈夫和养女的感受。帕特里克（尼古拉斯·克莱 Nicholas Clay 饰）是个血气方刚的英俊小伙，虽然已经有了体弱多病的妻子克里斯汀（简·伯金 Jane Birkin 饰），但他依然难以抵挡向他暗送秋波的阿伦娜的诱惑。今年，位于莱瑟库姆湾旁小岛上的度假旅馆“快乐罗杰”成为了展示罪恶的舞台，来这里渡假的所有游客，似乎都和阿伦娜有个多多少少的利益纠葛。哪里有罪恶，哪里就有波罗（彼得·乌斯蒂诺夫 Peter Ustinov 饰），这次也不例外，聪明的他将一切矛盾都看在眼底。 阿伦娜死了，这令众人毫不意外。尽管每个人都有作案的动机，但每个人又都有完美的不在场证明。究竟是谁杀了阿伦娜？其实凶手早早...
赛末点MatchPoint,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p685837045.jpg,8.1,189243,剧情/爱情/悬疑/犯罪,2005-05-12(戛纳电影节)/2005-12-18(英国首映),124分钟,伍迪·艾伦,乔纳森·莱斯·梅耶斯/斯嘉丽·约翰逊/马修·古迪/艾米莉·莫迪默/布莱恩·考克斯/米兰达·莱森/亚历山大·阿姆斯特朗/保罗·凯耶/佩内洛普·威尔顿/杰弗里·斯特里特菲尔德/马克·加蒂斯/西蒙·坤茨/约翰·福琼/鲁伯特·彭利-琼斯/安东尼·奥唐纳/罗斯·基冈/佐伊·特尔福德/玛格丽特·提扎克/斯科特·汉迪/瑟琳娜·卡德尔/乔治娜·查普曼/科林·萨蒙/托比·凯贝尔/史蒂夫·佩姆伯顿/艾文·布莱纳/詹姆斯·内斯比特/莫恩博特斯/埃迪·马森,英国/美国/爱尔兰/卢森堡,英语,穷小子威尔顿（乔纳森•莱斯•迈勒斯）为改变自己的命运，从爱尔兰来到伦敦当起网球教练，立誓要凭一身网球绝技混入对该运动情有独钟的上流社会。结识富家公子哥汤姆后，他得到机会，对方的妹妹克罗伊（艾米莉•莫蒂梅尔）对他一见钟情，其后，在对方的父亲的相助下，威尔顿顺利混入上流社会。 正当要与克罗伊谈婚论嫁时，威尔顿邂逅汤姆的女友、来自美国的女演员诺拉（斯嘉丽•约翰逊），后者同样在为进入上流社会做着不懈的努力。相似经历令两人萌生真情，但威尔顿并没为诺拉放弃自己的计划。一切梦想都成真后，威尔顿重遇已与汤姆分手的诺拉，两人旧情复燃，威尔顿开始在她与妻子之间周旋。不久，诺拉怀孕坚拒堕胎，威尔顿迎来人生的赛点。
尼罗河上的惨案Poirot:DeathontheNile,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2229994399.jpg,8.5,30081,剧情/悬疑/犯罪,2004-04-12(英国),98分钟,安迪·威尔逊,大卫·苏切/詹姆斯·福克斯/爱玛·格里菲斯·马琳/约翰·约瑟夫·菲尔德/艾米莉·布朗特/朱迪·帕瑞福特/黛西·唐洛范/芭芭拉·弗林/丹尼尔·莱派恩/大卫·索尔/弗朗西斯·德·拉·图瓦/佐伊·特尔福德/阿拉斯塔尔·麦肯泽/史蒂夫·佩姆伯顿,英国,英语,本片拍摄于2003年，改编自阿加莎·克里斯蒂的同名原著作品，为大卫·苏切特主演的“大侦探波罗”电视系列剧中的一集，讲述了一桩发生在一个特别地点的特别案件：尼罗河上的一艘游艇中，一位不幸的女士被枪杀，船上每一个人都可能是凶手，可谁是？谁不是？波罗正在紧张地思索……
囚徒Prisoners,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2119799056.jpg,8.1,130267,剧情/悬疑/犯罪,2013-08-30(特柳赖德电影节)/2013-09-20(美国),153分钟,丹尼斯·维伦纽瓦,休·杰克曼/杰克·吉伦哈尔/维奥拉·戴维斯/玛丽亚·贝罗/泰伦斯·霍华德/梅丽莎·里奥/保罗·达诺/迪兰·明奈特/艾琳·格拉西莫维奇/韦恩·杜瓦尔/兰·卡琉/大卫·达斯马齐连/布拉德·詹姆斯/安东尼·雷诺兹,美国,英语,凯勒（休·杰克曼 Hugh Jackman 饰）是一名木匠，一次意外中，他的女儿安娜（艾琳·格拉西莫维奇 Erin Gerasimovich 饰）同小伙伴乔伊（凯拉·德鲁·西蒙斯 Kyla Drew Simmons 饰）一起莫名失踪。对于女儿遭遇的不测，心急如焚的凯勒向警方寻求帮助，很快，案件的负责人洛基（杰克·吉伦哈尔 Jake Gyllenhaal 饰）就将目标锁定在了一位名叫艾利克斯（保罗·达诺 Paul Dano 饰）的男子身上。 不幸的是，由于证据不足，警方不得不在四十八小时之后释放了艾利克斯，对警方失望透顶的凯勒决定靠自己的力量寻找女儿的踪迹。经验丰富的凯勒亲手捉住了艾利克斯，他希望能够通过武力获取关于女儿的讯息。安娜和乔伊最终能够获救吗？坚称自己无辜的艾利克斯又是否真的就是罪魁祸首呢？
12怒汉：大审判12,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1296599900.jpg,8.4,35811,剧情/悬疑,2007-09-07(威尼斯电影节)/2007-09-20(俄罗斯),159分钟,尼基塔·米哈尔科夫,谢尔盖·马科韦茨基/尼基塔·米哈尔科夫/谢尔盖·加尔马什/瓦连京·佳夫特/阿列克谢·彼得连科/尤里·斯托亚诺夫/谢尔盖·加扎罗夫/米克哈尔·弗里蒙弗/奥莱克西·戈尔布诺夫/谢尔盖·阿尔齐巴舍夫/维克多·维尔比斯基/罗曼·迈迪安诺夫/亚历山大·阿达巴什扬/Apti Magamaev/Abdi Magamaev/娜塔莉亚·苏尔科娃/伊戈尔·韦尔尼克/Vladimir Komarov/谢尔盖·霍尔莫戈罗夫,俄罗斯,俄语/车臣语,翻拍自1957年Sidney Lumet的12 angry men。 一个车臣男孩被指控谋杀自己俄罗斯军官的养父，所有证人和证据均对他不利，12位陪审团成员对此展开了讨论，他们将决定男孩今后的命运。 12名陪审员来自不同的行业，不同的种族。刚开始的时候，每个人心不在焉， 对这起案件并不在乎，除了一个物理研究员之外，他们都认为男孩有罪。但是，物理研究员唤起了其他11个人对生命的尊重，他们开始认真讨论这起案件，讲述各自生活中的故事和经历，在决定男孩命运的同时，也审视自己的内心世界。 最终，当他们达成一致意见的时候，陪审团主持人（Nikita Mikhalkov 饰）的决定却出乎意料……
万能钥匙TheSkeletonKey,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p810384382.jpg,8.0,389347,剧情/悬疑/恐怖,2005-07-29(英国)/2005-08-12(美国),104分钟,伊恩·索夫特雷,凯特·哈德森/吉娜·罗兰兹/约翰·赫特/彼得·萨斯加德/乔伊·布赖恩特/麦克辛·巴内特/法隆尼·R·哈里斯/马龙·泽瑟/安·达芮普/迪内·泰勒/楚拉·M·马库斯/松雅·斯塔森/托马斯·尤斯卡利/珍·阿普加/弗里斯特·兰蒂斯,美国/德国,英语/法语,年轻的姑娘卡罗琳（凯特•哈德森 Kate Hudson 饰）受雇于老妇人维奥莱特（吉娜•罗兰兹 Gena Rowlands 饰），前往她家照顾她卧病在床的丈夫本（约翰•赫特 John Hurt 饰）。维奥莱特的大房子坐落于以神秘习俗和宗教仪式闻名的地区，卡罗琳刚到这里就觉得阴森诡异。随着日子一天天过去，卡罗琳渐渐对这件大房子和古怪的维奥莱特起疑。一次偶然，她从维奥莱特那里得到了一把万能钥匙，用它可以打开这座大房子的所有房间。当卡罗琳走进了隐藏在顶楼的房间时，她看到了令人惊悚的一幕，直觉告诉她，本的卧病在床和维奥莱特以及这间房间有着莫大的关系，她决心揭开这个迷！
穿靴子的猫2PussinBoots:TheLastWish,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2885032978.jpg,8.1,107729,喜剧/爱情/动画/悬疑/歌舞/奇幻/冒险,2022-12-23(中国大陆)/2022-12-07(法国)/2022-12-21(美国),102分钟,乔尔·克劳福德/贾努埃尔·梅尔卡多,安东尼奥·班德拉斯/萨尔玛·海耶克/哈维·吉兰/弗洛伦丝·皮尤/约翰·木兰尼/瓦格纳·马拉/雷·温斯顿/萨姆森·卡约/奥利维娅·科尔曼/达明·乔伊·伦道夫/安东尼·门德斯/科迪·卡梅伦/乔尔·克劳福德/娜塔莉亚·克朗博尔德/保罗·费舍尔/贾努埃尔·梅尔卡多/亚提米丝·帕博达尼/詹姆斯·雷恩/贝琪·索达罗/康拉德·弗农,美国,英语/西班牙语,时隔11年，臭屁自大又爱卖萌的猫大侠回来了！如今的猫大侠（安东尼奥·班德拉斯 配音），依旧幽默潇洒又不拘小节、数次“花式送命”后，九条命如今只剩一条，于是不得不请求自己的老搭档兼“宿敌”——迷人的软爪妞（萨尔玛·海耶克 配音）来施以援手来恢复自己的九条生命。
回归Volver,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2213137026.jpg,8.2,51506,剧情/喜剧/悬疑/犯罪,2006-03-17(西班牙),121分钟,佩德罗·阿莫多瓦,佩内洛普·克鲁兹/卡门·毛拉/洛拉·杜埃尼亚斯/布兰卡·波蒂略/约阿娜·科沃/丘斯·兰普雷亚维/安东尼奥·德·拉·托雷/卡洛斯·布兰科/玛利亚·迪亚兹/内乌丝·桑兹/莱昂德洛·里维拉/Pepa Aniorte/Yolanda Ramos/Elvira Cuadrupani/玛利亚·阿尔方萨·罗索/Fanny de Castro/Eli Iranzo/卡洛斯·加西亚·坎贝罗/Magdalena Broto/Isabel Ayúcar,西班牙,西班牙语,雷蒙黛（佩内洛普•克鲁兹 Penélope Cruz饰）和他的酒鬼丈夫、年轻女儿共住，生活却不像别人平静。 雷蒙黛有个姐姐索尔（劳拉•杜纳丝 Lola Dueñas饰），小时候两人和父母生活贫寒。父母在一场火灾后遇难后，两姊妹就搬到了马德里生活，为着各自生活已经渐渐疏远。然而，一场意外和一个鬼魂，打破了两姐妹平静的生活。
漫长的婚约Unlongdimanchedefiançailles,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803957472.jpg,8.1,70190,剧情/爱情/悬疑/战争,2004-10-27,133分钟,让-皮埃尔·热内,奥黛丽·塔图/加斯帕德·尤利尔/多米尼克·皮侬/安德烈·杜索里埃/迪基·奥尔加多/玛丽昂·歌迪亚/朱迪·福斯特/让-皮埃尔·达鲁森/克洛维斯·科尔尼亚克/德尼·拉旺/杰罗姆·基尔舍/阿尔贝·杜邦泰尔/让-保罗·卢弗/埃琳娜·勒文松/朱莉·德帕迪约/米歇尔·罗班/切基·卡尤/让-克洛德·德雷菲斯/伯利·兰内尔/弗雷德里克·贝尔,法国/美国,法语/德语,法国女孩马蒂尔达（奥黛丽·托图 饰）因为小儿麻痹而落下残疾，同村的男孩马涅克（加斯帕德·尤利尔 饰）是她青梅竹马的情人，二人已定下婚约，但是，随着一战的爆发，马涅克应征入伍，婚约也变得遥遥无期。 战争持久而残酷，但是马蒂尔达认为自己和马涅克之间有奇妙的感应，她坚信马涅克还活着。 1920年，马蒂尔达收到噩耗：五名法国士兵因自残罪名被本国军事委员会判处死刑，扔到敌方的“黄昏宾果”战壕前等死，其中最年轻的一个就是马涅克。 马蒂尔达开始艰难的寻找真相，她找私家侦探调查，托人查看军方的相关文件，锲而不舍察访“黄昏宾果”战壕的幸存者，为此不惜耗尽了父母留下的遗产。 寻找的过程痛苦而漫长，马蒂尔达仿佛亲身经历了战争的恐怖，也知道了“黄昏宾果”战壕更多不为人知的秘密……
真相至上NothingButtheTruth,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p769052768.jpg,8.3,35960,剧情/悬疑,2008-09-08(多伦多电影节),108分钟,罗德·拉里,凯特·贝金赛尔/马特·狄龙/维拉·法米加/安吉拉·贝塞特/大卫·休默/阿伦·阿尔达/诺亚·怀尔,美国,英语,女记者瑞秋（凯特·贝金赛尔 Kate Beckinsale 饰）从线人处获得了一份情报涉及政府一次相当不光彩的行为。在丈夫雷（大卫·休默 David Schwimmer 饰）支持下刊登了这起新闻报道。政府最终以泄露国家 机密的罪行将瑞秋推上被告席，主审该案件的则是自负的检察官帕顿（马特·狄龙 Matt Dillon 饰）。在法庭上，面对帕顿的层层逼问，瑞秋坦然地叙述了整个事件的前前后后，公众心中的天平也开始往瑞秋方面倾斜，但是艾伦坚持要求瑞秋必须说出资料的提供者是谁，瑞秋逐渐地陷入进退两难的境地。艾伦开始向舆论和瑞秋的家人施加压力，而雷也渐渐地抵抗不住国家给予的压力，建议瑞秋屈服于国家。但瑞秋向雷表达了自己的坚持：真相至上。
热泪伤痕DoloresClaiborne,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2151462240.jpg,8.6,20115,剧情/悬疑/惊悚,1996-08-01(中国香港)/1995-03-24(美国),132分钟,泰勒·海克福德,凯西·贝茨/克里斯托弗·普卢默/大卫·斯特雷泽恩/詹妮弗·杰森·李/朱迪·帕瑞福特/约翰·C·赖利,美国,英语,疗养院的老太太薇拉连人带轮椅滚下了楼梯，当场毙命。护理她的保姆桃乐丝（凯西•贝茨 Kathy Bates 饰）手持凶器站在旁边。桃乐丝是唯一的嫌疑人。原来，桃乐丝是薇拉雇佣了40年的女佣，由于她饱受主人的责骂和变态要求，所以这起案件很容易被导向怀恨在心、伺机报复的谋杀。警方一直想把她定罪，判处她20年徒刑。这个案子惊动了桃乐丝远在纽约做记者的女儿莎琳娜（詹妮弗•杰森•李 Jennifer Jason Leigh 饰）。她亲自参与案件的追踪，再度与离散多年的母亲重逢，共同生活了几日。这令她不得不回首阴暗往事，而桃乐丝也总是恍然回忆起女儿小时候的样子。与此同时，一个恶魔般的身影也随之被记忆唤醒。那是她的丈夫，经常对她实施暴力。在忍无可忍之际，她做出了最后的反击……
行骗天下JP：浪漫篇コンフィデンスマンJP,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2549891899.jpg,8.1,61338,喜剧/悬疑,2019-05-17(日本),116分钟,田中亮,长泽雅美/东出昌大/小日向文世/竹内结子/三浦春马/江口洋介/小手伸也/织田梨沙/前田敦子/小栗旬/佐津川爱美/冈田义德/生濑胜久,日本,日语,长泽雅美、东出昌大、小日向文世等主演的剧集《行骗天下JP》将被打造为同名电影。剧集围绕三名欺诈师在金融、房地产、艺术、美容等各行业欺诈巨款的故事展开。长泽雅美、东出昌大、小日向文世将回归。
死寂DeadSilence,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1235830609.jpg,7.9,303817,悬疑/恐怖,2007-03-16(美国),89分钟,温子仁,唐尼·沃尔伯格/安贝·瓦莱塔/瑞恩·柯万腾/迈克尔·费尔曼/鲍勃·冈顿/劳拉·里根/朱迪思·罗伯茨/迪米特里·柴波维特斯基/凯尔·吉克瑞斯特,美国,英语,童谣本应该充满欢声笑语，但世界上偏偏有这么一些童谣，让人听了毛骨悚然。小镇拉文斯•法尔就流传着这样一个恐怖的童谣：小心来自玛丽•肖的凝视；她没有孩子，只有玩偶；如果你看到她，不要尖叫；否则她会扯开你的嘴巴撕掉你的舌头。这个小镇一直就在笼罩在这个童谣的诅咒之下，只要有玩偶出现的地方，就有人遇害，死状一样，都是舌头被割下。 吉米（瑞恩•科万顿 Ryan Kwanten 饰）和萨丽新婚不久，就决定搬离这个受诅咒的地方，但最终萨丽还是没有逃脱这个诅咒。悲伤不已的吉米决定送妻子的尸骸返回家乡，并着手调查这个笼罩在整个小镇头上的恐怖诅咒。随着调查的深入，吉米发现了这首童谣背后的另一个真相。
招魂2TheConjuring2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2360924286.jpg,7.9,209432,剧情/悬疑/恐怖,2016-06-10(美国),134分钟,温子仁,帕特里克·威尔森/维拉·法米加/麦迪逊·沃尔夫/弗兰西丝·奥康纳/劳伦·埃斯波西托/本杰明·海格/帕特里克·麦考利/西蒙·迈克伯尼/玛丽亚·多耶·肯尼迪/西蒙·德兰尼/弗朗卡·波滕特/鲍勃·阿德里安/罗宾·阿特金·唐斯/邦妮·阿伦斯/哈维尔·博泰特/斯蒂芬·考特尔/艾比·森哈/斯特林·杰里斯/约瑟夫·比沙拉/艾米丽·塔斯克/凯特·库克/山农·库克,加拿大/美国/英国,英语,故事发生在繁华的都市伦敦，佩吉（弗兰西丝·奥康纳 Frances O'Connor 饰）是一名家境十分贫寒的单亲妈妈，住在破旧的老房子里，独自抚养着三个孩子珍妮特（麦迪逊·沃芙 Madison Wolfe 饰）、玛格丽特（劳伦·埃斯波西托 Lauren Esposito 饰）和强尼（Patrick McAuley 饰）。最近，房子里出现的一些灵异现象让一家人陷入了恐惧和绝望之中，更糟糕的是，年纪最小的珍妮特似乎成为了恶灵附身的对象。 教会的驱魔师劳瑞（维拉·法梅加 Vera Farmiga 饰）和艾德（帕特里克·威尔森 Patrick Wilson 饰）介入了此事，尽管他们十分同情这一家人，但两人的首要目的，则是探清此处灵异事件的真实性，然而，除了当事人的一些口述外，并没有确凿的证据证明这里真的发生了灵异事件，两人在无奈之中只有选择离去。
祈祷落幕时祈りの幕が下りる時,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2552073598.jpg,7.9,170605,剧情/悬疑,2019-04-12(中国大陆)/2018-01-27(日本),119分钟,福泽克雄,阿部宽/松岛菜菜子/沟端淳平/田中丽奈/木村绿子/乌丸节子/春风亭升太/音尾琢真/饭丰万理江/上杉祥三/中岛博子/樱田日和/及川光博/伊藤兰/小日向文世/山崎努/香川照之/杏,日本,日语,位于东京都葛饰区的一座公寓内，一具高度腐烂的尸体被人发现。经警方初步查明，死者是来自滋贺县的押谷道子，她的死亡实属他杀。警视厅搜查一课刑警松宫（沟端淳平 饰）调查发现，押谷此次上都是为了拜访并观看学生时代的好友浅居博美（松岛菜菜子 饰）的舞台剧的。虽然浅居有充分的不在场证明，不过她和加贺恭一郎（阿部宽 饰）的合影依然引起松宫的注意。与此同时，在道子遇害公寓的附近，一具焚烧后的尸体被人发现。现场的一件遗物令加贺激动万分，因为这与他多年未曾谋面的母亲有着千丝万缕的关系。两起案件，以及失踪的人，将浅居和加贺再度连接在一起…… 本片根据日本著名推理作家东野圭吾的同名小说改编。
